اذون اضافة الزيادات تفصيلية 

"التحديد";"م";"العملية";"المدخل";"كود الاذن";"التاريخ";"الوقت";"كود الصنف";"المخزن";"الصنف";"الوحدة";"الكمية";"السعر قبل";"التأثير";"الخصم %";"السعر";"الاجمالى"
"colchkbox";"moslsl";"title";"fuser";"idno_s";"fshortdate";"ftime";"fcodeunit";"fstorfrom";"fname";"funit";"fquntity";"fpr_sd";"fefect";"fpdis";"fpr_s";"gtot"
"True";"";" ";"ابراهيم الضويني ";"15";"02/04/2026 12:00:00 ص";"02/04/2026 02:08:27 م";;"محل 1";"لمبه 25 وات كيكا";"ك";"2.0000";"0.0000";"-";"0.0000";"7.0000";"14.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"15";"02/04/2026 12:00:00 ص";"02/04/2026 02:08:27 م";;"محل 1";"لمبه 100 وات ايفر برايت";"قطعه";"6.0000";"0.0000";"-";"0.0000";"13.7500";"82.5000000000000"
"True";"";" ";"ابراهيم الضويني ";"17";"04/04/2026 12:00:00 ص";"04/04/2026 04:28:30 م";;"محل 2";"عود دكت 2.5*4 سم";"ك";"26.0000";"0.0000";"-";"0.0000";"50.0000";"1300.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"17";"04/04/2026 12:00:00 ص";"04/04/2026 04:28:30 م";;"محل 2";"غطاء بواط 20*20 ابو العز";"قطعه ";"19.0000";"0.0000";"-";"0.0000";"12.0000";"228.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"17";"04/04/2026 12:00:00 ص";"04/04/2026 04:28:30 م";;"محل 2";"ماسوره 25 مم بيت الهندسه";"ك";"4.0000";"0.0000";"-";"0.0000";"40.0000";"160.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"17";"04/04/2026 12:00:00 ص";"04/04/2026 04:28:30 م";;"محل 2";"ماسورة 30 مم بيت الهندسه";"ك";"4.0000";"0.0000";"-";"0.0000";"50.0000";"200.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"17";"04/04/2026 12:00:00 ص";"04/04/2026 04:28:30 م";;"محل 1";"حجاره دايره ريمود";"ك";"2.0000";"0.0000";"-";"0.0000";"10.0000";"20.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"17";"04/04/2026 12:00:00 ص";"04/04/2026 04:28:30 م";;"محل 1";"وصله بفيشه محول";"ك";"100.0000";"0.0000";"-";"0.0000";"2.5000";"250.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"15";"02/04/2026 12:00:00 ص";"02/04/2026 02:08:27 م";;"محل 1";"لوحه 12 خط معدن اجيسكو";"ك";"1.0000";"0.0000";"-";"0.0000";"320.0000";"320.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"15";"02/04/2026 12:00:00 ص";"02/04/2026 02:08:27 م";;"محل 1";"لوحه (11-14) خط اكوا";"ك";"1.0000";"0.0000";"-";"0.0000";"200.0000";"200.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"18";"05/04/2026 12:00:00 ص";"05/04/2026 02:54:52 م";;"محل 1";"انتركم (تكتافون) 2خط انيرجي";"ك";"1.0000";"0.0000";"-";"0.0000";"2150.0000";"2150.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"18";"05/04/2026 12:00:00 ص";"05/04/2026 02:54:52 م";;"محل 1";"سلك دش 50 يارده مارفيل";"ك";"1.0000";"0.0000";"-";"0.0000";"90.0000";"90.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"18";"05/04/2026 12:00:00 ص";"05/04/2026 02:54:52 م";;"محل 1";"وصله كابل دكر ونتايه 20 م ilock";"ك";"1.0000";"0.0000";"-";"0.0000";"350.0000";"350.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"18";"05/04/2026 12:00:00 ص";"05/04/2026 02:54:52 م";;"محل 1";"لقمه بريزه بولو";"ك";"2.0000";"0.0000";"-";"0.0000";"14.5000";"29.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"18";"05/04/2026 12:00:00 ص";"05/04/2026 02:54:52 م";;"محل 1";"لقمه مفتاح ديفاتير (3طرف ) بولو";"ك";"1.0000";"0.0000";"-";"0.0000";"15.0000";"15.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"18";"05/04/2026 12:00:00 ص";"05/04/2026 02:54:52 م";;"محل 1";"سينسور حركه 220 فولت (R.S)";"ك";"6.0000";"0.0000";"-";"0.0000";"95.0000";"570.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"19";"07/04/2026 12:00:00 ص";"07/04/2026 10:06:58 ص";;"محل 1";"زر تلاجه";"ك";"1.0000";"0.0000";"-";"0.0000";"10.0000";"10.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"19";"07/04/2026 12:00:00 ص";"07/04/2026 10:06:58 ص";;"محل 1";"مفتاح سوسته اسود صغير (بعجل /بدون)";"ك";"1.0000";"0.0000";"-";"0.0000";"8.0000";"8.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"20";"07/04/2026 12:00:00 ص";"07/04/2026 10:45:35 ص";;"محل 1";"كلبس توصيل ليد بسلك";"ك";"1.0000";"0.0000";"-";"0.0000";"5.5000";"5.5000000000000"
"True";"";" ";"ابراهيم الضويني ";"20";"07/04/2026 12:00:00 ص";"07/04/2026 10:45:35 ص";;"محل 1";"افيز (حزام ) بلاستيك 30سم";"ك";"2.0000";"0.0000";"-";"0.0000";"35.0000";"70.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"20";"07/04/2026 12:00:00 ص";"07/04/2026 10:45:35 ص";;"محل 1";"افيز (حزام ) بلاستيك 20 سم";"كيس";"3.0000";"0.0000";"-";"0.0000";"20.0000";"60.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"20";"07/04/2026 12:00:00 ص";"07/04/2026 10:45:35 ص";;"محل 1";"بكره ليد 60 ورم (RS)";"ك";"5.0000";"0.0000";"-";"0.0000";"42.5000";"212.5000000000000"
"True";"";" ";"ابراهيم الضويني ";"20";"07/04/2026 12:00:00 ص";"07/04/2026 10:45:35 ص";;"المخزن ";"جاك نتايه ليد";"ك";"340.0000";"0.0000";"-";"0.0000";"2.2500";"765.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"21";"09/04/2026 12:00:00 ص";"09/04/2026 10:47:24 ص";;"محل 1";"سلك سماعه ربع ملي (MTM)";"متر";"42.0000";"0.0000";"-";"0.0000";"3.0000";"126.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"21";"09/04/2026 12:00:00 ص";"09/04/2026 10:47:24 ص";;"محل 1";"سلك دش نحاس رصاصي 96 شعره 100م";"ك";"2.0000";"0.0000";"-";"0.0000";"650.0000";"1300.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"22";"09/04/2026 12:00:00 ص";"09/04/2026 11:04:15 ص";;"محل 1";"سلك نت اناره";"متر";"54.0000";"0.0000";"-";"0.0000";"6.1000";"329.4000000000000"
"True";"";" ";"ابراهيم الضويني ";"22";"09/04/2026 12:00:00 ص";"09/04/2026 11:04:15 ص";;"محل 1";"سبليتر جونسا";"ك";"45.0000";"0.0000";"-";"0.0000";"15.0000";"675.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"22";"09/04/2026 12:00:00 ص";"09/04/2026 11:04:15 ص";;"محل 1";"مكثف 16uf ماتور";"ك";"2.0000";"0.0000";"-";"0.0000";"20.0000";"40.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"22";"09/04/2026 12:00:00 ص";"09/04/2026 11:04:15 ص";;"محل 1";"مكسف 18 uf ماتور";"ك";"3.0000";"0.0000";"-";"0.0000";"20.0000";"60.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"22";"09/04/2026 12:00:00 ص";"09/04/2026 11:04:15 ص";;"محل 1";"مكثف 8uf ماتور";"ك";"4.0000";"0.0000";"-";"0.0000";"20.0000";"80.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"22";"09/04/2026 12:00:00 ص";"09/04/2026 11:04:15 ص";;"محل 1";"غطاء بواط 10*15 ابو العز";"قطعه";"4.0000";"0.0000";"-";"0.0000";"3.2500";"13.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"22";"09/04/2026 12:00:00 ص";"09/04/2026 11:04:15 ص";;"محل 1";"غطاء بواط 10*10 ابو العز";"قطعه ";"1.0000";"0.0000";"-";"0.0000";"2.7500";"2.7500000000000"
"True";"";" ";"ابراهيم الضويني ";"22";"09/04/2026 12:00:00 ص";"09/04/2026 11:04:15 ص";;"محل 1";"سلك مجدول 2*0.5 مم السمكه";"لفه";"1.0000";"0.0000";"-";"0.0000";"770.0000";"770.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"22";"09/04/2026 12:00:00 ص";"09/04/2026 11:04:15 ص";;"محل 1";"سلك مجدول 2*1 مم السمكه";"متر";"6.5000";"0.0000";"-";"0.0000";"13.4400";"87.3600000000000"
"True";"";" ";"ابراهيم الضويني ";"22";"09/04/2026 12:00:00 ص";"09/04/2026 11:04:15 ص";;"محل 1";"وصله جاهزه 3 م اسود";"ك";"1.0000";"0.0000";"-";"0.0000";"14.0000";"14.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"22";"09/04/2026 12:00:00 ص";"09/04/2026 11:04:15 ص";;"محل 1";"وش ركنه اسمايل يو اس بي بالشاحن";"ك";"14.0000";"0.0000";"-";"0.0000";"90.0000";"1260.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"22";"09/04/2026 12:00:00 ص";"09/04/2026 11:04:15 ص";;"محل 1";"لقمه مفتاح مفرد سانشي الدوليه";"ك";"3.0000";"0.0000";"-";"0.0000";"11.5000";"34.5000000000000"
"True";"";" ";"ابراهيم الضويني ";"22";"09/04/2026 12:00:00 ص";"09/04/2026 11:04:15 ص";;"محل 1";"لقمه وناسه ابيض سانشي شرم";"ك";"1.0000";"0.0000";"-";"0.0000";"74.0000";"74.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"22";"09/04/2026 12:00:00 ص";"09/04/2026 11:04:15 ص";;"محل 1";"لقمه زر جرس عريض سانشي شرم";"ك";"15.0000";"0.0000";"-";"0.0000";"48.5000";"727.5000000000000"
"True";"";" ";"ابراهيم الضويني ";"22";"09/04/2026 12:00:00 ص";"09/04/2026 11:04:15 ص";;"محل 1";"لقمه بريزه انجليزي (MK) سانشي الدوليه";"ك";"1.0000";"0.0000";"-";"0.0000";"39.0000";"39.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"22";"09/04/2026 12:00:00 ص";"09/04/2026 11:04:15 ص";;"محل 1";"لقمه مفتاح باللمبه (ماتور) سانشي اورجينال";"ك";"15.0000";"0.0000";"-";"0.0000";"28.0000";"420.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"22";"09/04/2026 12:00:00 ص";"09/04/2026 11:04:15 ص";"SH1101";"محل 1";"لقمه مفتاح مفرد سانشي شرم";"ك";"4.0000";"0.0000";"-";"0.0000";"11.7000";"46.8000000000000"
