جرد بضاعة 

"التحديد";"م";"المخزن";"الكود التلقائى";"كود الصنف";"الصنف";"الوحدة";"العبوة 2";"رصيد الوحدة الاولى";"رصيد الوحدة الثانية";"سعر التكلفة";"الاجمالى";"قائمة اسعار 1";"الاجمالى";"قائمة اسعار 2";"الاجمالى";"قائمة اسعار 3";"الاجمالى";"تاريخ تعديل سعر البيع"
"colchkbox";"moslsl";"fstor";"iddet";"fcodeunit";"fname";"funit";"fbkgun2";"fquntityun1";"fquntityun2";"fpr_costun1";"ftotcost";"fpr_r1";"ftotpr_r1";"fpr_r2";"ftotpr_r2";"fpr_r3";"ftotpr_r3";"flastdatesadr"
"True";"";"محل 1";"220719";;"اب داون 2555/4 جرين لايت";"ك";"0.0000";"3";"0";"245.0000";"735";"315.0000";"945";"300.0000";"900";"285.0000";"855";"25/01/2026 03:59:39 م"
"True";"";"المخزن ";"220719";;"اب داون 2555/4 جرين لايت";"ك";"0.0000";"4";"0";"245.0000";"980";"315.0000";"1260";"300.0000";"1200";"285.0000";"1140";"25/01/2026 03:59:39 م"
"True";"";"محل 1";"210474";;"اب داون 2وات اسود  بلاستيك جرين لايت";"ك";"0.0000";"2";"0";"25.0000";"50";"35.0000";"70";"30.0000";"60";"28.0000";"56";"23/12/2025 11:19:01 م"
"True";"";"محل 1";"220616";;"اب داون 4 وات اسود بلاستيك تريند";"ك";"0.0000";"15";"0";"40.7500";"611.25";"50.0000";"750";"47.0000";"705";"45.0000";"675";"07/04/2026 05:55:10 م"
"True";"";"المخزن ";"220616";;"اب داون 4 وات اسود بلاستيك تريند";"ك";"0.0000";"75";"0";"40.7500";"3056.25";"50.0000";"3750";"47.0000";"3525";"45.0000";"3375";"07/04/2026 05:55:10 م"
"True";"";"محل 2";"220616";;"اب داون 4 وات اسود بلاستيك تريند";"ك";"0.0000";"29";"0";"40.7500";"1181.75";"50.0000";"1450";"47.0000";"1363";"45.0000";"1305";"07/04/2026 05:55:10 م"
"True";"";"محل 2";"210525";;"اب داون 4 وات اسود بلاستيك تكه";"ك";"0.0000";"2";"0";"41.0106";"82.0212";"60.0000";"120";"55.0000";"110";"50.0000";"100";"25/01/2026 01:07:56 م"
"True";"";"محل 1";"220693";;"اب داون 4 وات اسود معدن المدهش";"ك";"0.0000";"10";"0";"115.0000";"1150";"130.0000";"1300";"125.0000";"1250";"120.0000";"1200";"23/04/2026 07:21:59 م"
"True";"";"المخزن ";"220693";;"اب داون 4 وات اسود معدن المدهش";"ك";"0.0000";"10";"0";"115.0000";"1150";"130.0000";"1300";"125.0000";"1250";"120.0000";"1200";"23/04/2026 07:21:59 م"
"True";"";"المخزن ";"220933";;"اب داون 6 وات اسود بلاستيك ترند";"ك";"0.0000";"95";"0";"38.5000";"3657.5";"55.0000";"5225";"50.0000";"4750";"45.0000";"4275";"04/02/2026 11:34:03 م"
